frame_index,image_file_name,frame_timestamp_ns,pose_record_index,pose_timestamp_ns,time_delta_ms,image_intrinsics_mode,tracking_state
244,frame_1468045777149016.jpg,1468045777149016,245,1468045777149016,0.000,session_fixed,TRACKING
245,frame_1468045810525978.jpg,1468045810525978,246,1468045810525978,0.000,session_fixed,TRACKING
246,frame_1468045843890041.jpg,1468045843890041,247,1468045843890041,0.000,session_fixed,TRACKING
247,frame_1468045877254103.jpg,1468045877254103,248,1468045877254103,0.000,session_fixed,TRACKING
248,frame_1468045910588330.jpg,1468045910588330,249,1468045910588330,0.000,session_fixed,TRACKING
249,frame_1468045943952392.jpg,1468045943952392,250,1468045943952392,0.000,session_fixed,TRACKING
250,frame_1468045977316455.jpg,1468045977316455,251,1468045977316455,0.000,session_fixed,TRACKING
251,frame_1468046010630629.jpg,1468046010630629,252,1468046010630629,0.000,session_fixed,TRACKING
252,frame_1468046043994692.jpg,1468046043994692,253,1468046043994692,0.000,session_fixed,TRACKING
253,frame_1468046077358754.jpg,1468046077358754,254,1468046077358754,0.000,session_fixed,TRACKING
254,frame_1468046110803202.jpg,1468046110803202,255,1468046110803202,0.000,session_fixed,TRACKING
255,frame_1468046144167264.jpg,1468046144167264,256,1468046144167264,0.000,session_fixed,TRACKING
256,frame_1468046177531275.jpg,1468046177531275,257,1468046177531275,0.000,session_fixed,TRACKING
257,frame_1468046210990248.jpg,1468046210990248,258,1468046210990248,0.000,session_fixed,TRACKING
258,frame_1468046244354311.jpg,1468046244354311,259,1468046244354311,0.000,session_fixed,TRACKING
259,frame_1468046277718321.jpg,1468046277718321,260,1468046277718321,0.000,session_fixed,TRACKING
260,frame_1468046311062079.jpg,1468046311062079,261,1468046311062079,0.000,session_fixed,TRACKING
261,frame_1468046344426141.jpg,1468046344426141,262,1468046344426141,0.000,session_fixed,TRACKING
262,frame_1468046377790151.jpg,1468046377790151,263,1468046377790151,0.000,session_fixed,TRACKING
263,frame_1468046411139232.jpg,1468046411139232,264,1468046411139232,0.000,session_fixed,TRACKING
264,frame_1468046444503294.jpg,1468046444503294,265,1468046444503294,0.000,session_fixed,TRACKING
265,frame_1468046477867305.jpg,1468046477867305,266,1468046477867305,0.000,session_fixed,TRACKING
266,frame_1468046511362225.jpg,1468046511362225,267,1468046511362225,0.000,session_fixed,TRACKING
267,frame_1468046544726288.jpg,1468046544726288,268,1468046544726288,0.000,session_fixed,TRACKING
268,frame_1468046578090298.jpg,1468046578090298,269,1468046578090298,0.000,session_fixed,TRACKING
269,frame_1468046611440527.jpg,1468046611440527,270,1468046611440527,0.000,session_fixed,TRACKING
270,frame_1468046644804589.jpg,1468046644804589,271,1468046644804589,0.000,session_fixed,TRACKING
271,frame_1468046678168600.jpg,1468046678168600,272,1468046678168600,0.000,session_fixed,TRACKING
272,frame_1468046711542775.jpg,1468046711542775,273,1468046711542775,0.000,session_fixed,TRACKING
273,frame_1468046744906786.jpg,1468046744906786,274,1468046744906786,0.000,session_fixed,TRACKING
274,frame_1468046778270848.jpg,1468046778270848,275,1468046778270848,0.000,session_fixed,TRACKING
275,frame_1468046811568794.jpg,1468046811568794,276,1468046811568794,0.000,session_fixed,TRACKING
276,frame_1468046844932804.jpg,1468046844932804,277,1468046844932804,0.000,session_fixed,TRACKING
277,frame_1468046878296867.jpg,1468046878296867,278,1468046878296867,0.000,session_fixed,TRACKING
278,frame_1468046911583953.jpg,1468046911583953,279,1468046911583953,0.000,session_fixed,TRACKING
279,frame_1468046944947963.jpg,1468046944947963,280,1468046944947963,0.000,session_fixed,TRACKING
280,frame_1468046978312026.jpg,1468046978312026,281,1468046978312026,0.000,session_fixed,TRACKING
281,frame_1468047011687522.jpg,1468047011687522,282,1468047011687522,0.000,session_fixed,TRACKING
282,frame_1468047045051533.jpg,1468047045051533,283,1468047045051533,0.000,session_fixed,TRACKING
283,frame_1468047078415595.jpg,1468047078415595,284,1468047078415595,0.000,session_fixed,TRACKING
284,frame_1468047111692941.jpg,1468047111692941,285,1468047111692941,0.000,session_fixed,TRACKING
285,frame_1468047145057003.jpg,1468047145057003,286,1468047145057003,0.000,session_fixed,TRACKING
