sensor_type,event_timestamp_ns,elapsed_realtime_ns,wall_time_ms,x,y,z,accuracy
android.sensor.accelerometer,1468038054931614,1468038062793365,1775212845921,0.357727,8.988638,4.182056,3
android.sensor.gyroscope,1468038075211041,1468038082028782,1775212845941,0.044287696,-0.062002774,-0.07086031,3
android.sensor.accelerometer,1468038083425052,1468038091627636,1775212845950,0.30029923,9.005388,3.626921,3
android.sensor.gyroscope,1468038098955572,1468038105526751,1775212845964,-0.07055488,-0.12186752,-0.074525505,3
android.sensor.accelerometer,1468038111918489,1468038119990188,1775212845978,0.6520442,8.85464,3.9260237,3
android.sensor.gyroscope,1468038122700104,1468038131257167,1775212845990,-0.04734202,-0.11331542,-0.15638138,3
android.sensor.accelerometer,1468038130914166,1468038140392948,1775212845999,0.5132605,8.859426,4.215555,3
android.sensor.gyroscope,1468038146444687,1468038152879875,1775212846011,0.03940078,-0.15851942,-0.20647229,3
android.sensor.accelerometer,1468038159407604,1468038168147896,1775212846027,-0.12562318,9.206385,3.2416766,3
android.sensor.gyroscope,1468038170189218,1468038176579823,1775212846035,-0.08888082,-0.118202336,-0.12339468,3
android.sensor.accelerometer,1468038187901041,1468038195558053,1775212846054,0.14955142,9.196814,3.8877387,3
android.sensor.gyroscope,1468038193933750,1468038200523105,1775212846059,-0.07422007,0.014966187,-0.07086031,3
android.sensor.gyroscope,1468038217678333,1468038224375188,1775212846083,0.041844238,-0.065667965,-0.09040799,3
android.sensor.accelerometer,1468038216394531,1468038226083625,1775212846085,0.22372891,9.120243,4.1724844,3
android.sensor.gyroscope,1468038241422864,1468038248645553,1775212846107,-0.085215636,-0.1707367,-0.100181825,3
android.sensor.accelerometer,1468038244887968,1468038252895396,1775212846111,0.16630118,9.103494,3.5120654,3
android.sensor.gyroscope,1468038265167395,1468038271924719,1775212846130,-0.14752385,-0.10109812,-0.08796453,3
android.sensor.accelerometer,1468038273381458,1468038281169042,1775212846140,0.13758731,8.878569,4.3471603,3
android.sensor.gyroscope,1468038288911979,1468038295597532,1775212846154,-0.033902995,-0.062002774,-0.068416856,3
